epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2547.66,0.18752,0.28026,0.80713,0.97594,1,0.995,0.995,0.12736,0.15088,0.75841,3.98076e-05,3.98076e-05,3.98076e-05
133,2567.68,0.19371,0.28361,0.81471,0.97396,1,0.995,0.99207,0.12746,0.157,0.75797,3.78672e-05,3.78672e-05,3.78672e-05
134,2586.17,0.18528,0.27127,0.80499,0.97508,1,0.995,0.995,0.12553,0.1538,0.75873,3.59268e-05,3.59268e-05,3.59268e-05
135,2605.86,0.18073,0.26396,0.80101,0.97375,1,0.995,0.99409,0.12808,0.15149,0.75777,3.39864e-05,3.39864e-05,3.39864e-05
136,2625.33,0.18309,0.26725,0.80166,0.97508,1,0.995,0.995,0.12336,0.14896,0.75817,3.2046e-05,3.2046e-05,3.2046e-05
137,2644.1,0.1838,0.26701,0.80818,0.97612,1,0.995,0.995,0.12688,0.15502,0.75868,3.01056e-05,3.01056e-05,3.01056e-05
138,2664.62,0.18535,0.26283,0.80555,0.97422,1,0.995,0.995,0.12697,0.14841,0.7591,2.81652e-05,2.81652e-05,2.81652e-05
139,2683.39,0.18049,0.26678,0.80838,0.9753,1,0.995,0.995,0.12223,0.15009,0.75915,2.62248e-05,2.62248e-05,2.62248e-05
140,2703.57,0.18317,0.26857,0.80342,0.97494,1,0.995,0.995,0.12636,0.14962,0.75868,2.42844e-05,2.42844e-05,2.42844e-05
141,2723.43,0.15103,0.21943,0.78321,0.97517,1,0.995,0.99339,0.12718,0.1496,0.75798,2.2344e-05,2.2344e-05,2.2344e-05
142,2741.91,0.14892,0.21636,0.78344,0.97368,1,0.995,0.995,0.1219,0.14636,0.75797,2.04036e-05,2.04036e-05,2.04036e-05
143,2760.48,0.14869,0.21553,0.78553,0.97621,1,0.995,0.995,0.12543,0.14319,0.75789,1.84632e-05,1.84632e-05,1.84632e-05
144,2778.19,0.14708,0.21509,0.77672,0.9756,1,0.995,0.995,0.13012,0.14471,0.7592,1.65228e-05,1.65228e-05,1.65228e-05
145,2796.27,0.14753,0.21343,0.78011,0.9746,1,0.995,0.995,0.12437,0.14626,0.75916,1.45824e-05,1.45824e-05,1.45824e-05
146,2814.79,0.14497,0.21362,0.77976,0.97564,1,0.995,0.99409,0.12616,0.14014,0.75936,1.2642e-05,1.2642e-05,1.2642e-05
147,2832.58,0.14191,0.21141,0.77763,0.97737,1,0.995,0.99287,0.12746,0.13393,0.75912,1.07016e-05,1.07016e-05,1.07016e-05
148,2851.33,0.14069,0.20678,0.77155,0.97706,1,0.995,0.995,0.12473,0.13314,0.75871,8.7612e-06,8.7612e-06,8.7612e-06
149,2869.72,0.14212,0.2079,0.77317,0.97732,1,0.995,0.995,0.12161,0.13208,0.75948,6.8208e-06,6.8208e-06,6.8208e-06
150,2887.18,0.14181,0.20873,0.77754,0.97626,1,0.995,0.995,0.1247,0.1343,0.75905,4.8804e-06,4.8804e-06,4.8804e-06
