epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2884.96,0.19914,0.29478,0.81376,0.96652,1,0.995,0.99376,0.13087,0.16501,0.79279,2.92864e-05,2.92864e-05,2.92864e-05
138,2905.75,0.19839,0.28558,0.80592,0.97096,1,0.995,0.99409,0.13103,0.16167,0.79278,2.73988e-05,2.73988e-05,2.73988e-05
139,2927.79,0.19583,0.27541,0.8095,0.96944,1,0.995,0.99285,0.13108,0.16318,0.79193,2.55112e-05,2.55112e-05,2.55112e-05
140,2948.84,0.2008,0.29252,0.8097,0.96856,1,0.995,0.99376,0.13057,0.16448,0.79087,2.36236e-05,2.36236e-05,2.36236e-05
141,2972.8,0.16003,0.23472,0.7744,0.9655,1,0.995,0.99412,0.12816,0.15638,0.79076,2.1736e-05,2.1736e-05,2.1736e-05
142,2994.16,0.16132,0.24528,0.78525,0.96478,1,0.995,0.995,0.12866,0.16459,0.79238,1.98484e-05,1.98484e-05,1.98484e-05
143,3014.84,0.15937,0.23933,0.78873,0.96659,1,0.995,0.995,0.13022,0.16378,0.79249,1.79608e-05,1.79608e-05,1.79608e-05
144,3034.73,0.15626,0.23242,0.7853,0.96543,1,0.995,0.99305,0.12774,0.16321,0.79267,1.60732e-05,1.60732e-05,1.60732e-05
145,3056.04,0.15579,0.23348,0.78503,0.96554,1,0.995,0.99305,0.12682,0.16099,0.79314,1.41856e-05,1.41856e-05,1.41856e-05
146,3075.85,0.1539,0.23308,0.77586,0.96471,1,0.995,0.99376,0.12766,0.15668,0.79268,1.2298e-05,1.2298e-05,1.2298e-05
147,3096.98,0.15497,0.22903,0.78094,0.96627,1,0.995,0.99305,0.12625,0.15717,0.79273,1.04104e-05,1.04104e-05,1.04104e-05
148,3116.75,0.15036,0.22919,0.7825,0.96502,1,0.995,0.99305,0.12769,0.15651,0.79241,8.5228e-06,8.5228e-06,8.5228e-06
149,3137.58,0.15416,0.22995,0.77758,0.96565,1,0.995,0.99305,0.12483,0.15522,0.79262,6.6352e-06,6.6352e-06,6.6352e-06
150,3156.9,0.15587,0.2267,0.7797,0.96694,1,0.995,0.99305,0.12628,0.15426,0.7923,4.7476e-06,4.7476e-06,4.7476e-06
